GW,ED,Periodicity,CT,0,1,2,3,4,5,6,7,8,9
1,100,360,50,"{'count_all_UL': 607, 'ACK': 205, 'CUL': 305, 'HD': 65, 'Rx1': 81, 'Rx2': 124}","{'count_all_UL': 632, 'ACK': 234, 'CUL': 322, 'HD': 64, 'Rx1': 98, 'Rx2': 136}","{'count_all_UL': 636, 'ACK': 231, 'CUL': 344, 'HD': 61, 'Rx1': 95, 'Rx2': 136}","{'count_all_UL': 621, 'ACK': 218, 'CUL': 324, 'HD': 57, 'Rx1': 81, 'Rx2': 137}","{'count_all_UL': 616, 'ACK': 229, 'CUL': 356, 'HD': 66, 'Rx1': 83, 'Rx2': 146}","{'count_all_UL': 636, 'ACK': 223, 'CUL': 343, 'HD': 71, 'Rx1': 84, 'Rx2': 139}","{'count_all_UL': 623, 'ACK': 210, 'CUL': 317, 'HD': 61, 'Rx1': 90, 'Rx2': 120}","{'count_all_UL': 637, 'ACK': 230, 'CUL': 339, 'HD': 57, 'Rx1': 86, 'Rx2': 144}","{'count_all_UL': 604, 'ACK': 220, 'CUL': 314, 'HD': 55, 'Rx1': 87, 'Rx2': 133}","{'count_all_UL': 625, 'ACK': 219, 'CUL': 338, 'HD': 58, 'Rx1': 83, 'Rx2': 136}"
1,200,360,50,"{'count_all_UL': 1228, 'ACK': 337, 'CUL': 680, 'HD': 178, 'Rx1': 149, 'Rx2': 188}","{'count_all_UL': 1239, 'ACK': 334, 'CUL': 667, 'HD': 157, 'Rx1': 148, 'Rx2': 186}","{'count_all_UL': 1234, 'ACK': 351, 'CUL': 662, 'HD': 172, 'Rx1': 151, 'Rx2': 200}","{'count_all_UL': 1206, 'ACK': 329, 'CUL': 651, 'HD': 156, 'Rx1': 141, 'Rx2': 188}","{'count_all_UL': 1230, 'ACK': 336, 'CUL': 631, 'HD': 168, 'Rx1': 156, 'Rx2': 180}","{'count_all_UL': 1238, 'ACK': 344, 'CUL': 668, 'HD': 169, 'Rx1': 151, 'Rx2': 193}","{'count_all_UL': 1246, 'ACK': 314, 'CUL': 665, 'HD': 165, 'Rx1': 121, 'Rx2': 193}","{'count_all_UL': 1222, 'ACK': 312, 'CUL': 634, 'HD': 149, 'Rx1': 122, 'Rx2': 190}","{'count_all_UL': 1211, 'ACK': 316, 'CUL': 633, 'HD': 159, 'Rx1': 128, 'Rx2': 188}","{'count_all_UL': 1223, 'ACK': 323, 'CUL': 612, 'HD': 153, 'Rx1': 134, 'Rx2': 189}"
1,300,360,50,"{'count_all_UL': 1765, 'ACK': 400, 'CUL': 934, 'HD': 262, 'Rx1': 187, 'Rx2': 213}","{'count_all_UL': 1784, 'ACK': 390, 'CUL': 939, 'HD': 285, 'Rx1': 170, 'Rx2': 220}","{'count_all_UL': 1768, 'ACK': 397, 'CUL': 937, 'HD': 256, 'Rx1': 181, 'Rx2': 216}","{'count_all_UL': 1833, 'ACK': 406, 'CUL': 974, 'HD': 259, 'Rx1': 192, 'Rx2': 214}","{'count_all_UL': 1817, 'ACK': 409, 'CUL': 951, 'HD': 285, 'Rx1': 194, 'Rx2': 215}","{'count_all_UL': 1807, 'ACK': 380, 'CUL': 949, 'HD': 289, 'Rx1': 168, 'Rx2': 212}","{'count_all_UL': 1829, 'ACK': 392, 'CUL': 975, 'HD': 272, 'Rx1': 179, 'Rx2': 213}","{'count_all_UL': 1780, 'ACK': 397, 'CUL': 948, 'HD': 267, 'Rx1': 184, 'Rx2': 213}","{'count_all_UL': 1840, 'ACK': 420, 'CUL': 999, 'HD': 311, 'Rx1': 202, 'Rx2': 218}","{'count_all_UL': 1753, 'ACK': 393, 'CUL': 944, 'HD': 233, 'Rx1': 186, 'Rx2': 207}"
1,400,360,50,"{'count_all_UL': 2270, 'ACK': 445, 'CUL': 1195, 'HD': 396, 'Rx1': 218, 'Rx2': 227}","{'count_all_UL': 2330, 'ACK': 436, 'CUL': 1204, 'HD': 403, 'Rx1': 208, 'Rx2': 228}","{'count_all_UL': 2334, 'ACK': 447, 'CUL': 1190, 'HD': 448, 'Rx1': 220, 'Rx2': 227}","{'count_all_UL': 2312, 'ACK': 468, 'CUL': 1266, 'HD': 399, 'Rx1': 234, 'Rx2': 234}","{'count_all_UL': 2324, 'ACK': 429, 'CUL': 1211, 'HD': 400, 'Rx1': 204, 'Rx2': 225}","{'count_all_UL': 2289, 'ACK': 436, 'CUL': 1228, 'HD': 377, 'Rx1': 206, 'Rx2': 230}","{'count_all_UL': 2312, 'ACK': 444, 'CUL': 1204, 'HD': 410, 'Rx1': 216, 'Rx2': 228}","{'count_all_UL': 2300, 'ACK': 443, 'CUL': 1191, 'HD': 376, 'Rx1': 218, 'Rx2': 225}","{'count_all_UL': 2326, 'ACK': 469, 'CUL': 1262, 'HD': 381, 'Rx1': 247, 'Rx2': 222}","{'count_all_UL': 2274, 'ACK': 440, 'CUL': 1193, 'HD': 409, 'Rx1': 207, 'Rx2': 233}"
2,100,360,50,"{'count_all_UL': 828, 'ACK': 392, 'CUL': 429, 'HD': 34, 'Rx1': 219, 'Rx2': 173}","{'count_all_UL': 796, 'ACK': 393, 'CUL': 419, 'HD': 18, 'Rx1': 213, 'Rx2': 180}","{'count_all_UL': 834, 'ACK': 394, 'CUL': 444, 'HD': 26, 'Rx1': 233, 'Rx2': 161}","{'count_all_UL': 847, 'ACK': 405, 'CUL': 448, 'HD': 31, 'Rx1': 217, 'Rx2': 188}","{'count_all_UL': 841, 'ACK': 410, 'CUL': 451, 'HD': 35, 'Rx1': 213, 'Rx2': 197}","{'count_all_UL': 825, 'ACK': 400, 'CUL': 451, 'HD': 29, 'Rx1': 216, 'Rx2': 184}","{'count_all_UL': 870, 'ACK': 399, 'CUL': 455, 'HD': 27, 'Rx1': 188, 'Rx2': 211}","{'count_all_UL': 843, 'ACK': 399, 'CUL': 444, 'HD': 36, 'Rx1': 204, 'Rx2': 195}","{'count_all_UL': 806, 'ACK': 395, 'CUL': 449, 'HD': 28, 'Rx1': 202, 'Rx2': 193}","{'count_all_UL': 836, 'ACK': 407, 'CUL': 461, 'HD': 27, 'Rx1': 206, 'Rx2': 201}"
2,200,360,50,"{'count_all_UL': 1611, 'ACK': 638, 'CUL': 840, 'HD': 88, 'Rx1': 333, 'Rx2': 305}","{'count_all_UL': 1615, 'ACK': 661, 'CUL': 865, 'HD': 89, 'Rx1': 347, 'Rx2': 314}","{'count_all_UL': 1620, 'ACK': 618, 'CUL': 859, 'HD': 96, 'Rx1': 288, 'Rx2': 330}","{'count_all_UL': 1609, 'ACK': 615, 'CUL': 841, 'HD': 90, 'Rx1': 301, 'Rx2': 314}","{'count_all_UL': 1629, 'ACK': 622, 'CUL': 845, 'HD': 95, 'Rx1': 318, 'Rx2': 304}","{'count_all_UL': 1617, 'ACK': 631, 'CUL': 825, 'HD': 95, 'Rx1': 342, 'Rx2': 289}","{'count_all_UL': 1654, 'ACK': 626, 'CUL': 871, 'HD': 83, 'Rx1': 293, 'Rx2': 333}","{'count_all_UL': 1629, 'ACK': 646, 'CUL': 861, 'HD': 95, 'Rx1': 351, 'Rx2': 295}","{'count_all_UL': 1576, 'ACK': 607, 'CUL': 814, 'HD': 94, 'Rx1': 304, 'Rx2': 303}","{'count_all_UL': 1622, 'ACK': 622, 'CUL': 829, 'HD': 97, 'Rx1': 299, 'Rx2': 323}"
2,300,360,50,"{'count_all_UL': 2427, 'ACK': 809, 'CUL': 1271, 'HD': 212, 'Rx1': 440, 'Rx2': 369}","{'count_all_UL': 2436, 'ACK': 821, 'CUL': 1298, 'HD': 202, 'Rx1': 426, 'Rx2': 395}","{'count_all_UL': 2415, 'ACK': 809, 'CUL': 1306, 'HD': 184, 'Rx1': 434, 'Rx2': 375}","{'count_all_UL': 2452, 'ACK': 826, 'CUL': 1327, 'HD': 212, 'Rx1': 428, 'Rx2': 398}","{'count_all_UL': 2430, 'ACK': 799, 'CUL': 1299, 'HD': 202, 'Rx1': 412, 'Rx2': 387}","{'count_all_UL': 2439, 'ACK': 802, 'CUL': 1296, 'HD': 212, 'Rx1': 417, 'Rx2': 385}","{'count_all_UL': 2452, 'ACK': 805, 'CUL': 1299, 'HD': 181, 'Rx1': 422, 'Rx2': 383}","{'count_all_UL': 2475, 'ACK': 825, 'CUL': 1316, 'HD': 210, 'Rx1': 437, 'Rx2': 388}","{'count_all_UL': 2464, 'ACK': 820, 'CUL': 1281, 'HD': 203, 'Rx1': 449, 'Rx2': 371}","{'count_all_UL': 2396, 'ACK': 809, 'CUL': 1271, 'HD': 196, 'Rx1': 440, 'Rx2': 369}"
2,400,360,50,"{'count_all_UL': 3232, 'ACK': 933, 'CUL': 1699, 'HD': 347, 'Rx1': 500, 'Rx2': 433}","{'count_all_UL': 3174, 'ACK': 911, 'CUL': 1655, 'HD': 301, 'Rx1': 489, 'Rx2': 422}","{'count_all_UL': 3194, 'ACK': 904, 'CUL': 1683, 'HD': 307, 'Rx1': 468, 'Rx2': 436}","{'count_all_UL': 3226, 'ACK': 947, 'CUL': 1738, 'HD': 317, 'Rx1': 522, 'Rx2': 425}","{'count_all_UL': 3204, 'ACK': 930, 'CUL': 1695, 'HD': 304, 'Rx1': 500, 'Rx2': 430}","{'count_all_UL': 3179, 'ACK': 894, 'CUL': 1635, 'HD': 305, 'Rx1': 466, 'Rx2': 428}","{'count_all_UL': 3208, 'ACK': 899, 'CUL': 1692, 'HD': 294, 'Rx1': 477, 'Rx2': 422}","{'count_all_UL': 3184, 'ACK': 917, 'CUL': 1699, 'HD': 283, 'Rx1': 493, 'Rx2': 424}","{'count_all_UL': 3304, 'ACK': 908, 'CUL': 1742, 'HD': 324, 'Rx1': 469, 'Rx2': 439}","{'count_all_UL': 3193, 'ACK': 905, 'CUL': 1667, 'HD': 278, 'Rx1': 475, 'Rx2': 430}"
3,100,360,50,"{'count_all_UL': 911, 'ACK': 489, 'CUL': 497, 'HD': 7, 'Rx1': 332, 'Rx2': 157}","{'count_all_UL': 901, 'ACK': 474, 'CUL': 481, 'HD': 8, 'Rx1': 312, 'Rx2': 162}","{'count_all_UL': 888, 'ACK': 454, 'CUL': 463, 'HD': 7, 'Rx1': 301, 'Rx2': 153}","{'count_all_UL': 907, 'ACK': 473, 'CUL': 486, 'HD': 7, 'Rx1': 324, 'Rx2': 149}","{'count_all_UL': 889, 'ACK': 468, 'CUL': 476, 'HD': 7, 'Rx1': 334, 'Rx2': 134}","{'count_all_UL': 897, 'ACK': 459, 'CUL': 474, 'HD': 8, 'Rx1': 297, 'Rx2': 162}","{'count_all_UL': 912, 'ACK': 470, 'CUL': 477, 'HD': 12, 'Rx1': 349, 'Rx2': 121}","{'count_all_UL': 895, 'ACK': 470, 'CUL': 470, 'HD': 10, 'Rx1': 320, 'Rx2': 150}","{'count_all_UL': 883, 'ACK': 457, 'CUL': 463, 'HD': 5, 'Rx1': 320, 'Rx2': 137}","{'count_all_UL': 879, 'ACK': 455, 'CUL': 459, 'HD': 12, 'Rx1': 326, 'Rx2': 129}"
3,200,360,50,"{'count_all_UL': 1807, 'ACK': 847, 'CUL': 944, 'HD': 48, 'Rx1': 475, 'Rx2': 372}","{'count_all_UL': 1808, 'ACK': 849, 'CUL': 932, 'HD': 59, 'Rx1': 501, 'Rx2': 348}","{'count_all_UL': 1831, 'ACK': 849, 'CUL': 962, 'HD': 47, 'Rx1': 454, 'Rx2': 395}","{'count_all_UL': 1796, 'ACK': 894, 'CUL': 979, 'HD': 63, 'Rx1': 539, 'Rx2': 355}","{'count_all_UL': 1815, 'ACK': 890, 'CUL': 984, 'HD': 61, 'Rx1': 508, 'Rx2': 382}","{'count_all_UL': 1805, 'ACK': 848, 'CUL': 955, 'HD': 53, 'Rx1': 473, 'Rx2': 375}","{'count_all_UL': 1805, 'ACK': 866, 'CUL': 969, 'HD': 49, 'Rx1': 501, 'Rx2': 365}","{'count_all_UL': 1777, 'ACK': 832, 'CUL': 909, 'HD': 46, 'Rx1': 466, 'Rx2': 366}","{'count_all_UL': 1824, 'ACK': 892, 'CUL': 975, 'HD': 46, 'Rx1': 532, 'Rx2': 360}","{'count_all_UL': 1828, 'ACK': 875, 'CUL': 964, 'HD': 51, 'Rx1': 497, 'Rx2': 378}"
