gatewayID,X,Y,Z
1,0,0,1.5
EndDeviceID,X,Y,Z,SF
2,-79.7291,367.992,1,11,
3,268.802,463.394,1,12,
4,-127.972,321.255,1,11,
5,-45.7616,131.434,1,7,
6,173.29,-332.018,1,12,
7,60.3002,498.083,1,12,
8,321.264,268.561,1,11,
9,-201.182,-363.003,1,11,
10,-235.014,-196.458,1,10,
11,286.817,-4.68201,1,9,
12,-156.345,120.631,1,8,
13,-137.28,440.281,1,12,
14,212.075,496.261,1,11,
15,-9.62559,-488.531,1,12,
16,404.599,-172.352,1,12,
17,-315.654,384.095,1,12,
18,-395.717,231.97,1,12,
19,89.8786,-116.753,1,8,
20,312.639,-402.273,1,11,
21,-450.251,-283.655,1,12,
22,-174.662,27.5551,1,8,
23,449.393,235.607,1,12,
24,-325.344,-195.612,1,10,
25,-42.2926,442.989,1,12,
26,-278.027,-399.261,1,12,
27,-157.144,-386.747,1,11,
28,194.313,-411.455,1,12,
29,-336.364,93.8163,1,10,
30,175.888,-332.912,1,12,
31,-325.267,-296.005,1,11,
32,236.575,-468.976,1,12,
33,-41.8074,-12.1125,1,7,
34,-162.196,275.193,1,10,
35,184.142,-256.168,1,10,
36,-271.398,53.2112,1,11,
37,-290.275,457.16,1,12,
38,35.8639,199.744,1,7,
39,-340.735,-53.8723,1,11,
40,-136.225,-33.1736,1,7,
41,482.234,-329.973,1,12,
42,-47.513,137.822,1,7,
43,-140.918,334.306,1,10,
44,286.843,-32.3899,1,10,
45,472.366,-82.2672,1,12,
46,-170.907,-249.467,1,10,
47,-207.34,-160.922,1,9,
48,497.998,-25.7286,1,11,
49,-460.015,-325.54,1,10,
50,-90.001,-457.422,1,11,
51,2.00649,86.6869,1,7,
52,-450.127,-167.424,1,12,
53,417.246,-318.219,1,12,
54,-203.354,480.529,1,12,
55,-250.456,125.81,1,10,
56,-206.736,-221.63,1,12,
57,140.547,-461.619,1,12,
58,282.116,171.071,1,12,
59,-306.753,-171.002,1,10,
60,181.223,234.501,1,10,
61,-59.3661,-13.9898,1,7,
62,148.54,-195.073,1,9,
63,-275.084,102.317,1,9,
64,-229.519,220.613,1,10,
65,-212.07,360.856,1,12,
66,-383.422,-231.252,1,11,
67,-399.662,-245.491,1,12,
68,-370.65,-130.311,1,12,
69,356.094,-7.53393,1,10,
70,300.15,451.889,1,12,
71,98.8464,-143.336,1,8,
72,-242.372,-102.471,1,9,
73,57.6498,-155.28,1,7,
74,135.935,94.5712,1,8,
75,171.485,-295.444,1,10,
76,-90.972,-149.528,1,7,
77,262.623,29.6068,1,9,
78,305.482,203.856,1,12,
79,79.4735,243.782,1,10,
80,268.665,121.152,1,10,
81,-206.751,-351.725,1,10,
82,-284.203,59.3585,1,9,
83,-272.751,-275.038,1,8,
84,157.453,475.472,1,12,
85,-19.0141,173.008,1,8,
86,-446.919,-454.69,1,12,
87,-343.67,-294.065,1,11,
88,-203.908,486.869,1,12,
89,241.228,-117.142,1,9,
90,291.841,-117.59,1,10,
91,-443.271,-193.083,1,12,
92,249.82,-347.784,1,12,
93,11.3127,362.172,1,9,
94,157.506,329.602,1,12,
95,393.973,-60.5038,1,12,
96,-295.868,40.8278,1,11,
97,388.345,-309.315,1,12,
98,485.37,149.972,1,12,
99,-151.402,296.664,1,11,
100,335.289,-281.674,1,12,
101,306.559,-58.2475,1,11,
senderId,receiverID, sendTime, receivedTime,SF,SNR,Ftype, Freq,received, code
66,1,134823097830,135810235324,11,-16.4617,4,8.685e+08,1,0,
2,1,103716818321,104703955577,11,-15.2015,2,8.685e+08,1,0,
54,1,2425069482909,2426879916649,12,-10.2506,2,8.685e+08,1,0,
60,1,99835506623,100288115612,10,-9.79048,4,8.685e+08,1,0,
89,1,109900390306,110147175201,9,-8.03575,4,8.681e+08,1,0,
42,1,110074256988,110146193474,7,3.54881,2,8.685e+08,1,0,
99,1,106052413624,107039550735,11,-4.40169,2,8.685e+08,1,0,
4,1,2607499216316,2608486353469,11,-14.4559,2,8.683e+08,1,0,
81,1,5292952419,5745561780,10,-0.988448,4,8.685e+08,1,0,
46,1,93967965912,94420574921,10,-11.1962,2,8.685e+08,1,0,
62,1,96169291503,96416076321,9,11.1399,2,8.685e+08,1,0,
70,1,2498869497112,2500679930922,12,-16.2025,4,8.685e+08,1,0,
61,1,45689312411,45761248614,7,12.6053,2,8.685e+08,1,0,
25,1,43201835171,45012268655,12,-9.52136,2,8.685e+08,1,0,
41,1,45735756371,47546190320,12,-6.31529,4,8.685e+08,1,0,
95,1,75482831844,77293265174,12,2.23998,2,8.685e+08,1,0,
69,1,2395628786012,2396081395200,10,0,2,8.683e+08,0,1,
44,1,7939993444,8392602407,10,2.21417,4,8.685e+08,1,0,
89,1,35873214421,36119999316,9,3.81361,4,8.685e+08,1,0,
3,1,24379428893,26189862680,12,-19.3616,2,8.685e+08,1,0,
94,1,2819932202,4630365421,12,-18.6443,4,8.685e+08,1,0,
93,1,2455776336470,2456023121679,9,-9.97736,4,8.683e+08,1,0,
9,1,123660593042,124647730426,11,-18.4764,4,8.685e+08,1,0,
