GW,ED,Periodicity,CT,0,1,2,3,4,5,6,7,8,9
1,100,360,50,"{'count_all_UL': 625, 'ACK': 187, 'CUL': 338, 'HD': 72, 'Rx1': 46, 'Rx2': 141}","{'count_all_UL': 637, 'ACK': 197, 'CUL': 339, 'HD': 75, 'Rx1': 53, 'Rx2': 144}","{'count_all_UL': 604, 'ACK': 191, 'CUL': 314, 'HD': 65, 'Rx1': 56, 'Rx2': 135}","{'count_all_UL': 623, 'ACK': 189, 'CUL': 317, 'HD': 63, 'Rx1': 62, 'Rx2': 127}","{'count_all_UL': 621, 'ACK': 201, 'CUL': 324, 'HD': 74, 'Rx1': 64, 'Rx2': 137}","{'count_all_UL': 607, 'ACK': 184, 'CUL': 305, 'HD': 68, 'Rx1': 57, 'Rx2': 127}","{'count_all_UL': 636, 'ACK': 207, 'CUL': 343, 'HD': 74, 'Rx1': 66, 'Rx2': 141}","{'count_all_UL': 616, 'ACK': 211, 'CUL': 356, 'HD': 77, 'Rx1': 60, 'Rx2': 151}","{'count_all_UL': 632, 'ACK': 209, 'CUL': 322, 'HD': 74, 'Rx1': 76, 'Rx2': 133}","{'count_all_UL': 636, 'ACK': 210, 'CUL': 344, 'HD': 83, 'Rx1': 64, 'Rx2': 146}"
1,200,360,50,"{'count_all_UL': 1246, 'ACK': 284, 'CUL': 665, 'HD': 183, 'Rx1': 97, 'Rx2': 187}","{'count_all_UL': 1223, 'ACK': 295, 'CUL': 612, 'HD': 177, 'Rx1': 115, 'Rx2': 180}","{'count_all_UL': 1228, 'ACK': 312, 'CUL': 680, 'HD': 191, 'Rx1': 127, 'Rx2': 185}","{'count_all_UL': 1230, 'ACK': 307, 'CUL': 631, 'HD': 168, 'Rx1': 127, 'Rx2': 180}","{'count_all_UL': 1222, 'ACK': 278, 'CUL': 634, 'HD': 153, 'Rx1': 89, 'Rx2': 189}","{'count_all_UL': 1211, 'ACK': 290, 'CUL': 633, 'HD': 177, 'Rx1': 102, 'Rx2': 188}","{'count_all_UL': 1234, 'ACK': 322, 'CUL': 662, 'HD': 192, 'Rx1': 131, 'Rx2': 191}","{'count_all_UL': 1206, 'ACK': 307, 'CUL': 651, 'HD': 169, 'Rx1': 121, 'Rx2': 186}","{'count_all_UL': 1238, 'ACK': 321, 'CUL': 668, 'HD': 181, 'Rx1': 133, 'Rx2': 188}","{'count_all_UL': 1239, 'ACK': 307, 'CUL': 667, 'HD': 197, 'Rx1': 122, 'Rx2': 185}"
1,300,360,50,"{'count_all_UL': 1807, 'ACK': 354, 'CUL': 949, 'HD': 318, 'Rx1': 135, 'Rx2': 219}","{'count_all_UL': 1753, 'ACK': 363, 'CUL': 944, 'HD': 279, 'Rx1': 156, 'Rx2': 207}","{'count_all_UL': 1840, 'ACK': 397, 'CUL': 999, 'HD': 323, 'Rx1': 177, 'Rx2': 220}","{'count_all_UL': 1833, 'ACK': 375, 'CUL': 974, 'HD': 293, 'Rx1': 162, 'Rx2': 213}","{'count_all_UL': 1784, 'ACK': 358, 'CUL': 939, 'HD': 304, 'Rx1': 141, 'Rx2': 217}","{'count_all_UL': 1765, 'ACK': 364, 'CUL': 934, 'HD': 297, 'Rx1': 158, 'Rx2': 206}","{'count_all_UL': 1829, 'ACK': 362, 'CUL': 975, 'HD': 310, 'Rx1': 149, 'Rx2': 213}","{'count_all_UL': 1817, 'ACK': 383, 'CUL': 951, 'HD': 323, 'Rx1': 171, 'Rx2': 212}","{'count_all_UL': 1780, 'ACK': 361, 'CUL': 948, 'HD': 298, 'Rx1': 150, 'Rx2': 211}","{'count_all_UL': 1768, 'ACK': 351, 'CUL': 937, 'HD': 295, 'Rx1': 142, 'Rx2': 209}"
1,400,360,50,"{'count_all_UL': 2324, 'ACK': 409, 'CUL': 1211, 'HD': 457, 'Rx1': 179, 'Rx2': 230}","{'count_all_UL': 2289, 'ACK': 414, 'CUL': 1228, 'HD': 411, 'Rx1': 182, 'Rx2': 232}","{'count_all_UL': 2312, 'ACK': 433, 'CUL': 1266, 'HD': 453, 'Rx1': 201, 'Rx2': 232}","{'count_all_UL': 2334, 'ACK': 416, 'CUL': 1190, 'HD': 457, 'Rx1': 188, 'Rx2': 228}","{'count_all_UL': 2270, 'ACK': 411, 'CUL': 1195, 'HD': 440, 'Rx1': 185, 'Rx2': 226}","{'count_all_UL': 2274, 'ACK': 413, 'CUL': 1193, 'HD': 453, 'Rx1': 182, 'Rx2': 231}","{'count_all_UL': 2312, 'ACK': 412, 'CUL': 1204, 'HD': 412, 'Rx1': 188, 'Rx2': 224}","{'count_all_UL': 2330, 'ACK': 407, 'CUL': 1204, 'HD': 421, 'Rx1': 182, 'Rx2': 225}","{'count_all_UL': 2300, 'ACK': 413, 'CUL': 1191, 'HD': 442, 'Rx1': 196, 'Rx2': 217}","{'count_all_UL': 2326, 'ACK': 432, 'CUL': 1262, 'HD': 426, 'Rx1': 206, 'Rx2': 226}"
2,100,360,50,"{'count_all_UL': 834, 'ACK': 356, 'CUL': 444, 'HD': 39, 'Rx1': 205, 'Rx2': 151}","{'count_all_UL': 806, 'ACK': 346, 'CUL': 449, 'HD': 34, 'Rx1': 159, 'Rx2': 187}","{'count_all_UL': 828, 'ACK': 347, 'CUL': 429, 'HD': 37, 'Rx1': 188, 'Rx2': 159}","{'count_all_UL': 796, 'ACK': 354, 'CUL': 419, 'HD': 33, 'Rx1': 165, 'Rx2': 189}","{'count_all_UL': 843, 'ACK': 353, 'CUL': 444, 'HD': 42, 'Rx1': 174, 'Rx2': 179}","{'count_all_UL': 847, 'ACK': 367, 'CUL': 448, 'HD': 39, 'Rx1': 180, 'Rx2': 187}","{'count_all_UL': 870, 'ACK': 352, 'CUL': 455, 'HD': 41, 'Rx1': 131, 'Rx2': 221}","{'count_all_UL': 836, 'ACK': 363, 'CUL': 461, 'HD': 38, 'Rx1': 149, 'Rx2': 214}","{'count_all_UL': 825, 'ACK': 354, 'CUL': 451, 'HD': 36, 'Rx1': 171, 'Rx2': 183}","{'count_all_UL': 841, 'ACK': 372, 'CUL': 451, 'HD': 43, 'Rx1': 173, 'Rx2': 199}"
2,200,360,50,"{'count_all_UL': 1654, 'ACK': 549, 'CUL': 871, 'HD': 130, 'Rx1': 239, 'Rx2': 310}","{'count_all_UL': 1615, 'ACK': 586, 'CUL': 865, 'HD': 100, 'Rx1': 305, 'Rx2': 281}","{'count_all_UL': 1612, 'ACK': 544, 'CUL': 841, 'HD': 105, 'Rx1': 279, 'Rx2': 265}","{'count_all_UL': 1617, 'ACK': 552, 'CUL': 825, 'HD': 113, 'Rx1': 286, 'Rx2': 266}","{'count_all_UL': 1622, 'ACK': 546, 'CUL': 829, 'HD': 117, 'Rx1': 243, 'Rx2': 303}","{'count_all_UL': 1609, 'ACK': 542, 'CUL': 841, 'HD': 122, 'Rx1': 252, 'Rx2': 290}","{'count_all_UL': 1629, 'ACK': 538, 'CUL': 845, 'HD': 128, 'Rx1': 256, 'Rx2': 282}","{'count_all_UL': 1629, 'ACK': 580, 'CUL': 861, 'HD': 110, 'Rx1': 298, 'Rx2': 282}","{'count_all_UL': 1620, 'ACK': 551, 'CUL': 859, 'HD': 123, 'Rx1': 243, 'Rx2': 308}","{'count_all_UL': 1576, 'ACK': 529, 'CUL': 814, 'HD': 121, 'Rx1': 253, 'Rx2': 276}"
2,300,360,50,"{'count_all_UL': 2427, 'ACK': 716, 'CUL': 1271, 'HD': 236, 'Rx1': 370, 'Rx2': 346}","{'count_all_UL': 2439, 'ACK': 708, 'CUL': 1296, 'HD': 234, 'Rx1': 353, 'Rx2': 355}","{'count_all_UL': 2396, 'ACK': 706, 'CUL': 1271, 'HD': 238, 'Rx1': 368, 'Rx2': 338}","{'count_all_UL': 2436, 'ACK': 709, 'CUL': 1298, 'HD': 208, 'Rx1': 364, 'Rx2': 345}","{'count_all_UL': 2452, 'ACK': 713, 'CUL': 1327, 'HD': 242, 'Rx1': 369, 'Rx2': 344}","{'count_all_UL': 2464, 'ACK': 723, 'CUL': 1281, 'HD': 228, 'Rx1': 400, 'Rx2': 323}","{'count_all_UL': 2415, 'ACK': 715, 'CUL': 1306, 'HD': 207, 'Rx1': 366, 'Rx2': 349}","{'count_all_UL': 2452, 'ACK': 702, 'CUL': 1299, 'HD': 211, 'Rx1': 347, 'Rx2': 355}","{'count_all_UL': 2430, 'ACK': 706, 'CUL': 1299, 'HD': 204, 'Rx1': 353, 'Rx2': 353}","{'count_all_UL': 2475, 'ACK': 739, 'CUL': 1316, 'HD': 207, 'Rx1': 379, 'Rx2': 360}"
2,400,360,50,"{'count_all_UL': 3184, 'ACK': 823, 'CUL': 1699, 'HD': 307, 'Rx1': 425, 'Rx2': 398}","{'count_all_UL': 3233, 'ACK': 827, 'CUL': 1700, 'HD': 361, 'Rx1': 428, 'Rx2': 399}","{'count_all_UL': 3193, 'ACK': 804, 'CUL': 1667, 'HD': 337, 'Rx1': 402, 'Rx2': 402}","{'count_all_UL': 3195, 'ACK': 804, 'CUL': 1683, 'HD': 340, 'Rx1': 389, 'Rx2': 415}","{'count_all_UL': 3180, 'ACK': 778, 'CUL': 1635, 'HD': 326, 'Rx1': 387, 'Rx2': 391}","{'count_all_UL': 3174, 'ACK': 812, 'CUL': 1655, 'HD': 336, 'Rx1': 417, 'Rx2': 395}","{'count_all_UL': 3204, 'ACK': 819, 'CUL': 1695, 'HD': 318, 'Rx1': 422, 'Rx2': 397}","{'count_all_UL': 3304, 'ACK': 807, 'CUL': 1742, 'HD': 343, 'Rx1': 400, 'Rx2': 407}","{'count_all_UL': 3208, 'ACK': 809, 'CUL': 1692, 'HD': 338, 'Rx1': 401, 'Rx2': 408}","{'count_all_UL': 3226, 'ACK': 830, 'CUL': 1738, 'HD': 317, 'Rx1': 443, 'Rx2': 387}"
3,100,360,50,"{'count_all_UL': 901, 'ACK': 436, 'CUL': 481, 'HD': 17, 'Rx1': 240, 'Rx2': 196}","{'count_all_UL': 888, 'ACK': 409, 'CUL': 463, 'HD': 15, 'Rx1': 236, 'Rx2': 173}","{'count_all_UL': 912, 'ACK': 436, 'CUL': 477, 'HD': 16, 'Rx1': 296, 'Rx2': 140}","{'count_all_UL': 883, 'ACK': 418, 'CUL': 463, 'HD': 14, 'Rx1': 255, 'Rx2': 163}","{'count_all_UL': 879, 'ACK': 409, 'CUL': 459, 'HD': 14, 'Rx1': 281, 'Rx2': 128}","{'count_all_UL': 907, 'ACK': 430, 'CUL': 486, 'HD': 18, 'Rx1': 271, 'Rx2': 159}","{'count_all_UL': 911, 'ACK': 450, 'CUL': 497, 'HD': 12, 'Rx1': 248, 'Rx2': 202}","{'count_all_UL': 895, 'ACK': 424, 'CUL': 470, 'HD': 12, 'Rx1': 267, 'Rx2': 157}","{'count_all_UL': 897, 'ACK': 411, 'CUL': 474, 'HD': 14, 'Rx1': 230, 'Rx2': 181}","{'count_all_UL': 889, 'ACK': 421, 'CUL': 476, 'HD': 10, 'Rx1': 268, 'Rx2': 153}"
3,200,360,50,"{'count_all_UL': 1815, 'ACK': 754, 'CUL': 984, 'HD': 66, 'Rx1': 446, 'Rx2': 308}","{'count_all_UL': 1805, 'ACK': 736, 'CUL': 955, 'HD': 76, 'Rx1': 390, 'Rx2': 346}","{'count_all_UL': 1805, 'ACK': 736, 'CUL': 969, 'HD': 62, 'Rx1': 426, 'Rx2': 310}","{'count_all_UL': 1777, 'ACK': 722, 'CUL': 909, 'HD': 66, 'Rx1': 406, 'Rx2': 316}","{'count_all_UL': 1832, 'ACK': 725, 'CUL': 963, 'HD': 75, 'Rx1': 382, 'Rx2': 343}","{'count_all_UL': 1808, 'ACK': 733, 'CUL': 932, 'HD': 84, 'Rx1': 442, 'Rx2': 291}","{'count_all_UL': 1796, 'ACK': 771, 'CUL': 979, 'HD': 54, 'Rx1': 473, 'Rx2': 298}","{'count_all_UL': 1824, 'ACK': 774, 'CUL': 975, 'HD': 61, 'Rx1': 457, 'Rx2': 317}","{'count_all_UL': 1828, 'ACK': 744, 'CUL': 964, 'HD': 66, 'Rx1': 417, 'Rx2': 327}","{'count_all_UL': 1807, 'ACK': 736, 'CUL': 944, 'HD': 64, 'Rx1': 399, 'Rx2': 337}"
