gatewayID,X,Y,Z
1,250,0,1.5
2,-250,0,1.5
3,0,250,1.5
4,0,-250,1.5
EndDeviceID,X,Y,Z,SF
5,-79.7291,367.992,1,8,
6,268.802,463.394,1,12,
7,-127.972,321.255,1,7,
8,-45.7616,131.434,1,8,
9,173.29,-332.018,1,9,
10,60.3002,498.083,1,10,
11,321.264,268.561,1,10,
12,-201.182,-363.003,1,8,
13,-235.014,-196.458,1,8,
14,286.817,-4.68201,1,7,
15,-156.345,120.631,1,8,
16,-137.28,440.281,1,10,
17,212.075,496.261,1,10,
18,-9.62559,-488.531,1,9,
19,404.599,-172.352,1,10,
20,-315.654,384.095,1,10,
21,-395.717,231.97,1,9,
22,89.8786,-116.753,1,7,
23,312.639,-402.273,1,9,
24,-450.251,-283.655,1,11,
25,-174.662,27.5551,1,7,
26,449.393,235.607,1,9,
27,-325.344,-195.612,1,9,
28,-42.2926,442.989,1,9,
29,-278.027,-399.261,1,11,
30,-157.144,-386.747,1,9,
31,194.313,-411.455,1,9,
32,-336.364,93.8163,1,7,
33,175.888,-332.912,1,7,
34,-325.267,-296.005,1,9,
35,236.575,-468.976,1,12,
36,-41.8074,-12.1125,1,8,
37,-162.196,275.193,1,7,
38,184.142,-256.168,1,7,
39,-271.398,53.2112,1,7,
40,-290.275,457.16,1,12,
41,35.8639,199.744,1,7,
42,-340.735,-53.8723,1,7,
43,-136.225,-33.1736,1,7,
44,482.234,-329.973,1,11,
45,-47.513,137.822,1,7,
46,-140.918,334.306,1,8,
47,286.843,-32.3899,1,7,
48,472.366,-82.2672,1,12,
49,-170.907,-249.467,1,8,
50,-207.34,-160.922,1,8,
51,497.998,-25.7286,1,10,
52,-460.015,-325.54,1,12,
53,-90.001,-457.422,1,10,
54,2.00649,86.6869,1,8,
55,-450.127,-167.424,1,9,
56,417.246,-318.219,1,11,
57,-203.354,480.529,1,10,
58,-250.456,125.81,1,7,
59,-206.736,-221.63,1,8,
60,140.547,-461.619,1,8,
61,282.116,171.071,1,9,
62,-306.753,-171.002,1,8,
63,181.223,234.501,1,7,
64,-59.3661,-13.9898,1,8,
65,148.54,-195.073,1,8,
66,-275.084,102.317,1,7,
67,-229.519,220.613,1,10,
68,-212.07,360.856,1,9,
69,-383.422,-231.252,1,10,
70,-399.662,-245.491,1,11,
71,-370.65,-130.311,1,8,
72,356.094,-7.53393,1,7,
73,300.15,451.889,1,11,
74,98.8464,-143.336,1,7,
75,-242.372,-102.471,1,7,
76,57.6498,-155.28,1,7,
77,135.935,94.5712,1,7,
78,171.485,-295.444,1,7,
79,-90.972,-149.528,1,7,
80,262.623,29.6068,1,7,
81,305.482,203.856,1,7,
82,79.4735,243.782,1,7,
83,268.665,121.152,1,8,
84,-206.751,-351.725,1,9,
85,-284.203,59.3585,1,7,
86,-272.751,-275.038,1,10,
87,157.453,475.472,1,8,
88,-19.0141,173.008,1,7,
89,-446.919,-454.69,1,11,
90,-343.67,-294.065,1,10,
91,-203.908,486.869,1,11,
92,241.228,-117.142,1,7,
93,291.841,-117.59,1,7,
94,-443.271,-193.083,1,8,
95,249.82,-347.784,1,12,
96,11.3127,362.172,1,7,
97,157.506,329.602,1,8,
98,393.973,-60.5038,1,8,
99,-295.868,40.8278,1,7,
100,388.345,-309.315,1,11,
101,485.37,149.972,1,9,
102,-151.402,296.664,1,9,
103,335.289,-281.674,1,10,
104,306.559,-58.2475,1,7,
senderId,receiverID, sendTime, receivedTime,SF,SNR,Ftype, Freq,received, code
58,1,13943035253,14014972974,7,-2.68443,4,8.685e+08,1,0,
58,2,13943035253,14014971673,7,-6.27708,4,8.685e+08,1,0,
58,4,13943035253,14014972759,7,8.0998,4,8.685e+08,1,0,
14,1,26538499547,26610435671,7,22.3184,4,8.685e+08,1,0,
99,2,22570415282,22642351487,7,10.528,2,8.685e+08,1,0,
78,1,78602669982,78674607002,7,-4.51692,2,8.685e+08,1,0,
63,3,51280168245,51352104852,7,5.4213,4,8.685e+08,1,0,
46,3,11995076000,12128708548,8,8.69937,2,8.685e+08,1,0,
46,4,11995076000,12128710005,8,-9.30087,2,8.685e+08,1,0,
18,1,50970700486,51217486331,9,-13.0233,2,8.685e+08,1,0,
18,4,50970700486,51217485282,9,-4.66199,2,8.685e+08,1,0,
15,2,1009937462964,1010071095473,8,0.156846,4,8.685e+08,1,0,
15,3,1009937462964,1010071095641,8,13.6086,4,8.685e+08,1,0,
85,2,73398448813,73470385042,7,-2.7211,2,8.685e+08,1,0,
97,3,27779289330,27912921919,8,-2.13272,2,8.685e+08,1,0,
87,1,18844549088,18978182704,8,-8.35484,2,8.685e+08,1,0,
87,2,18844549088,18978183177,8,-2.62045,2,8.685e+08,1,0,
99,2,29764015292,29835951497,7,2.94887,2,8.681e+08,1,0,
99,3,29764015292,29835952501,7,-4.73431,2,8.681e+08,1,0,
16,1,2622462433,3075072389,10,-16.2992,4,8.685e+08,1,0,
16,2,2622462433,3075071949,10,-12.3162,4,8.685e+08,0,1,
16,3,2622462433,3075071216,10,-12.3162,4,8.685e+08,1,0,
16,4,2622462433,3075072781,10,-15.9653,4,8.685e+08,1,0,
43,2,1734118117,1806054512,7,1.33495,4,8.685e+08,1,0,
28,1,711115251,957901021,9,-11.4695,2,8.685e+08,1,0,
28,3,711115251,957899910,9,-8.45605,2,8.685e+08,1,0,
28,4,711115251,957901567,9,-1.79588,2,8.685e+08,1,0,
79,2,40176984034,40248920762,7,-9.10812,2,8.685e+08,1,0,
20,3,70559555319,71012164463,10,-16.1258,2,8.685e+08,1,0,
72,1,64917326798,64989263153,7,-8.96988,2,8.685e+08,1,0,
72,2,64917326798,64989264820,7,-4.37588,2,8.685e+08,1,0,
26,1,64620731799,64867516829,9,-13.6231,2,8.685e+08,1,0,
26,3,64620731799,64867517299,9,-12.8138,2,8.685e+08,1,0,
25,2,47262753879,47334690147,7,-4.00754,4,8.685e+08,1,0,
25,3,47262753879,47334690822,7,-7.34535,4,8.685e+08,1,0,
81,1,48898898775,48970835480,7,-9.38962,2,8.685e+08,1,0,
34,4,1119801963457,1120048748553,9,3.49183,4,8.681e+08,1,0,
