GW,ED,Periodicity,CT,0,1,2,3,4,5,6,7,8,9
1,100,360,50,"{'count_all_UL': 636, 'ACK': 193, 'CUL': 344, 'HD': 84, 'Rx1': 49, 'Rx2': 144}","{'count_all_UL': 625, 'ACK': 180, 'CUL': 338, 'HD': 63, 'Rx1': 44, 'Rx2': 136}","{'count_all_UL': 636, 'ACK': 181, 'CUL': 343, 'HD': 83, 'Rx1': 38, 'Rx2': 143}","{'count_all_UL': 623, 'ACK': 173, 'CUL': 317, 'HD': 64, 'Rx1': 44, 'Rx2': 129}","{'count_all_UL': 604, 'ACK': 182, 'CUL': 314, 'HD': 64, 'Rx1': 51, 'Rx2': 131}","{'count_all_UL': 621, 'ACK': 185, 'CUL': 324, 'HD': 84, 'Rx1': 49, 'Rx2': 136}","{'count_all_UL': 607, 'ACK': 176, 'CUL': 305, 'HD': 67, 'Rx1': 45, 'Rx2': 131}","{'count_all_UL': 632, 'ACK': 188, 'CUL': 322, 'HD': 70, 'Rx1': 52, 'Rx2': 136}","{'count_all_UL': 616, 'ACK': 196, 'CUL': 356, 'HD': 75, 'Rx1': 44, 'Rx2': 152}","{'count_all_UL': 637, 'ACK': 192, 'CUL': 339, 'HD': 76, 'Rx1': 52, 'Rx2': 140}"
1,200,360,50,"{'count_all_UL': 1230, 'ACK': 263, 'CUL': 631, 'HD': 177, 'Rx1': 63, 'Rx2': 200}","{'count_all_UL': 1223, 'ACK': 242, 'CUL': 612, 'HD': 165, 'Rx1': 48, 'Rx2': 194}","{'count_all_UL': 1238, 'ACK': 246, 'CUL': 668, 'HD': 195, 'Rx1': 44, 'Rx2': 202}","{'count_all_UL': 1206, 'ACK': 262, 'CUL': 651, 'HD': 160, 'Rx1': 63, 'Rx2': 199}","{'count_all_UL': 1222, 'ACK': 240, 'CUL': 634, 'HD': 162, 'Rx1': 45, 'Rx2': 195}","{'count_all_UL': 1239, 'ACK': 247, 'CUL': 667, 'HD': 191, 'Rx1': 51, 'Rx2': 196}","{'count_all_UL': 1211, 'ACK': 244, 'CUL': 633, 'HD': 173, 'Rx1': 46, 'Rx2': 198}","{'count_all_UL': 1234, 'ACK': 261, 'CUL': 662, 'HD': 177, 'Rx1': 57, 'Rx2': 204}","{'count_all_UL': 1228, 'ACK': 260, 'CUL': 680, 'HD': 181, 'Rx1': 63, 'Rx2': 197}","{'count_all_UL': 1246, 'ACK': 245, 'CUL': 665, 'HD': 208, 'Rx1': 47, 'Rx2': 198}"
1,300,360,50,"{'count_all_UL': 1807, 'ACK': 270, 'CUL': 949, 'HD': 319, 'Rx1': 47, 'Rx2': 223}","{'count_all_UL': 1765, 'ACK': 281, 'CUL': 935, 'HD': 277, 'Rx1': 55, 'Rx2': 226}","{'count_all_UL': 1817, 'ACK': 295, 'CUL': 951, 'HD': 307, 'Rx1': 70, 'Rx2': 225}","{'count_all_UL': 1833, 'ACK': 287, 'CUL': 974, 'HD': 283, 'Rx1': 58, 'Rx2': 229}","{'count_all_UL': 1780, 'ACK': 286, 'CUL': 948, 'HD': 262, 'Rx1': 61, 'Rx2': 225}","{'count_all_UL': 1768, 'ACK': 286, 'CUL': 937, 'HD': 275, 'Rx1': 63, 'Rx2': 223}","{'count_all_UL': 1784, 'ACK': 278, 'CUL': 938, 'HD': 286, 'Rx1': 57, 'Rx2': 221}","{'count_all_UL': 1753, 'ACK': 281, 'CUL': 943, 'HD': 252, 'Rx1': 53, 'Rx2': 228}","{'count_all_UL': 1840, 'ACK': 298, 'CUL': 999, 'HD': 290, 'Rx1': 65, 'Rx2': 233}","{'count_all_UL': 1829, 'ACK': 283, 'CUL': 975, 'HD': 307, 'Rx1': 56, 'Rx2': 227}"
1,400,360,50,"{'count_all_UL': 2326, 'ACK': 315, 'CUL': 1262, 'HD': 404, 'Rx1': 73, 'Rx2': 242}","{'count_all_UL': 2289, 'ACK': 302, 'CUL': 1228, 'HD': 378, 'Rx1': 62, 'Rx2': 240}","{'count_all_UL': 2312, 'ACK': 300, 'CUL': 1204, 'HD': 367, 'Rx1': 55, 'Rx2': 245}","{'count_all_UL': 2270, 'ACK': 303, 'CUL': 1195, 'HD': 400, 'Rx1': 62, 'Rx2': 241}","{'count_all_UL': 2312, 'ACK': 308, 'CUL': 1266, 'HD': 380, 'Rx1': 62, 'Rx2': 246}","{'count_all_UL': 2274, 'ACK': 294, 'CUL': 1193, 'HD': 386, 'Rx1': 49, 'Rx2': 245}","{'count_all_UL': 2334, 'ACK': 291, 'CUL': 1190, 'HD': 407, 'Rx1': 52, 'Rx2': 239}","{'count_all_UL': 2300, 'ACK': 304, 'CUL': 1190, 'HD': 369, 'Rx1': 67, 'Rx2': 237}","{'count_all_UL': 2324, 'ACK': 295, 'CUL': 1211, 'HD': 382, 'Rx1': 56, 'Rx2': 239}","{'count_all_UL': 2330, 'ACK': 306, 'CUL': 1204, 'HD': 369, 'Rx1': 70, 'Rx2': 236}"
2,100,360,50,"{'count_all_UL': 836, 'ACK': 338, 'CUL': 461, 'HD': 46, 'Rx1': 127, 'Rx2': 211}","{'count_all_UL': 870, 'ACK': 325, 'CUL': 455, 'HD': 51, 'Rx1': 112, 'Rx2': 213}","{'count_all_UL': 796, 'ACK': 325, 'CUL': 419, 'HD': 38, 'Rx1': 131, 'Rx2': 194}","{'count_all_UL': 834, 'ACK': 336, 'CUL': 444, 'HD': 27, 'Rx1': 140, 'Rx2': 196}","{'count_all_UL': 825, 'ACK': 345, 'CUL': 451, 'HD': 48, 'Rx1': 139, 'Rx2': 206}","{'count_all_UL': 843, 'ACK': 327, 'CUL': 444, 'HD': 44, 'Rx1': 116, 'Rx2': 211}","{'count_all_UL': 841, 'ACK': 350, 'CUL': 451, 'HD': 43, 'Rx1': 142, 'Rx2': 208}","{'count_all_UL': 806, 'ACK': 321, 'CUL': 449, 'HD': 40, 'Rx1': 123, 'Rx2': 198}","{'count_all_UL': 847, 'ACK': 341, 'CUL': 448, 'HD': 36, 'Rx1': 131, 'Rx2': 210}","{'count_all_UL': 828, 'ACK': 326, 'CUL': 429, 'HD': 48, 'Rx1': 135, 'Rx2': 191}"
2,200,360,50,"{'count_all_UL': 1612, 'ACK': 473, 'CUL': 842, 'HD': 133, 'Rx1': 157, 'Rx2': 316}","{'count_all_UL': 1620, 'ACK': 481, 'CUL': 858, 'HD': 119, 'Rx1': 147, 'Rx2': 334}","{'count_all_UL': 1609, 'ACK': 459, 'CUL': 841, 'HD': 125, 'Rx1': 133, 'Rx2': 326}","{'count_all_UL': 1629, 'ACK': 497, 'CUL': 845, 'HD': 132, 'Rx1': 180, 'Rx2': 317}","{'count_all_UL': 1654, 'ACK': 467, 'CUL': 871, 'HD': 129, 'Rx1': 134, 'Rx2': 333}","{'count_all_UL': 1622, 'ACK': 473, 'CUL': 829, 'HD': 108, 'Rx1': 144, 'Rx2': 329}","{'count_all_UL': 1615, 'ACK': 492, 'CUL': 865, 'HD': 111, 'Rx1': 155, 'Rx2': 337}","{'count_all_UL': 1629, 'ACK': 482, 'CUL': 861, 'HD': 128, 'Rx1': 151, 'Rx2': 331}","{'count_all_UL': 1617, 'ACK': 483, 'CUL': 826, 'HD': 110, 'Rx1': 168, 'Rx2': 315}","{'count_all_UL': 1576, 'ACK': 439, 'CUL': 814, 'HD': 110, 'Rx1': 119, 'Rx2': 320}"
2,300,360,50,"{'count_all_UL': 2452, 'ACK': 573, 'CUL': 1299, 'HD': 222, 'Rx1': 176, 'Rx2': 397}","{'count_all_UL': 2396, 'ACK': 565, 'CUL': 1271, 'HD': 226, 'Rx1': 175, 'Rx2': 390}","{'count_all_UL': 2452, 'ACK': 587, 'CUL': 1327, 'HD': 234, 'Rx1': 184, 'Rx2': 403}","{'count_all_UL': 2436, 'ACK': 570, 'CUL': 1298, 'HD': 217, 'Rx1': 159, 'Rx2': 411}","{'count_all_UL': 2439, 'ACK': 562, 'CUL': 1296, 'HD': 229, 'Rx1': 145, 'Rx2': 417}","{'count_all_UL': 2430, 'ACK': 575, 'CUL': 1299, 'HD': 215, 'Rx1': 159, 'Rx2': 416}","{'count_all_UL': 2464, 'ACK': 589, 'CUL': 1281, 'HD': 232, 'Rx1': 184, 'Rx2': 405}","{'count_all_UL': 2415, 'ACK': 567, 'CUL': 1307, 'HD': 260, 'Rx1': 171, 'Rx2': 396}","{'count_all_UL': 2427, 'ACK': 578, 'CUL': 1271, 'HD': 247, 'Rx1': 177, 'Rx2': 401}","{'count_all_UL': 2475, 'ACK': 577, 'CUL': 1316, 'HD': 225, 'Rx1': 173, 'Rx2': 404}"
2,400,360,50,"{'count_all_UL': 3304, 'ACK': 639, 'CUL': 1742, 'HD': 334, 'Rx1': 188, 'Rx2': 451}","{'count_all_UL': 3204, 'ACK': 635, 'CUL': 1695, 'HD': 314, 'Rx1': 180, 'Rx2': 455}","{'count_all_UL': 3195, 'ACK': 603, 'CUL': 1683, 'HD': 311, 'Rx1': 150, 'Rx2': 453}","{'count_all_UL': 3184, 'ACK': 617, 'CUL': 1699, 'HD': 332, 'Rx1': 171, 'Rx2': 446}","{'count_all_UL': 3180, 'ACK': 609, 'CUL': 1636, 'HD': 344, 'Rx1': 157, 'Rx2': 452}","{'count_all_UL': 3208, 'ACK': 594, 'CUL': 1692, 'HD': 328, 'Rx1': 152, 'Rx2': 442}","{'count_all_UL': 3233, 'ACK': 605, 'CUL': 1700, 'HD': 355, 'Rx1': 149, 'Rx2': 456}","{'count_all_UL': 3226, 'ACK': 626, 'CUL': 1739, 'HD': 310, 'Rx1': 175, 'Rx2': 451}","{'count_all_UL': 3174, 'ACK': 610, 'CUL': 1655, 'HD': 333, 'Rx1': 161, 'Rx2': 449}","{'count_all_UL': 3193, 'ACK': 601, 'CUL': 1667, 'HD': 327, 'Rx1': 163, 'Rx2': 438}"
3,100,360,50,"{'count_all_UL': 901, 'ACK': 420, 'CUL': 481, 'HD': 23, 'Rx1': 200, 'Rx2': 220}","{'count_all_UL': 895, 'ACK': 423, 'CUL': 470, 'HD': 12, 'Rx1': 214, 'Rx2': 209}","{'count_all_UL': 907, 'ACK': 419, 'CUL': 486, 'HD': 26, 'Rx1': 221, 'Rx2': 198}","{'count_all_UL': 911, 'ACK': 442, 'CUL': 497, 'HD': 14, 'Rx1': 240, 'Rx2': 202}","{'count_all_UL': 879, 'ACK': 411, 'CUL': 459, 'HD': 19, 'Rx1': 228, 'Rx2': 183}","{'count_all_UL': 883, 'ACK': 417, 'CUL': 463, 'HD': 18, 'Rx1': 222, 'Rx2': 195}","{'count_all_UL': 897, 'ACK': 408, 'CUL': 474, 'HD': 16, 'Rx1': 211, 'Rx2': 197}","{'count_all_UL': 889, 'ACK': 420, 'CUL': 476, 'HD': 11, 'Rx1': 247, 'Rx2': 173}","{'count_all_UL': 888, 'ACK': 411, 'CUL': 463, 'HD': 23, 'Rx1': 215, 'Rx2': 196}","{'count_all_UL': 912, 'ACK': 436, 'CUL': 477, 'HD': 23, 'Rx1': 271, 'Rx2': 165}"
3,200,360,50,"{'count_all_UL': 1815, 'ACK': 699, 'CUL': 983, 'HD': 78, 'Rx1': 282, 'Rx2': 417}","{'count_all_UL': 1777, 'ACK': 661, 'CUL': 909, 'HD': 61, 'Rx1': 252, 'Rx2': 409}","{'count_all_UL': 1807, 'ACK': 661, 'CUL': 944, 'HD': 90, 'Rx1': 260, 'Rx2': 401}","{'count_all_UL': 1828, 'ACK': 685, 'CUL': 965, 'HD': 84, 'Rx1': 264, 'Rx2': 421}","{'count_all_UL': 1832, 'ACK': 665, 'CUL': 963, 'HD': 69, 'Rx1': 244, 'Rx2': 421}","{'count_all_UL': 1824, 'ACK': 690, 'CUL': 975, 'HD': 68, 'Rx1': 264, 'Rx2': 426}","{'count_all_UL': 1805, 'ACK': 681, 'CUL': 969, 'HD': 65, 'Rx1': 257, 'Rx2': 424}","{'count_all_UL': 1796, 'ACK': 714, 'CUL': 980, 'HD': 83, 'Rx1': 336, 'Rx2': 378}","{'count_all_UL': 1808, 'ACK': 668, 'CUL': 933, 'HD': 82, 'Rx1': 283, 'Rx2': 385}","{'count_all_UL': 1805, 'ACK': 653, 'CUL': 955, 'HD': 80, 'Rx1': 242, 'Rx2': 411}"
