Time,ID, Address, FType,X,Y,Z,GWDist,Data Rate, Tx Power, Tx,CTx,UCTx, Rx,CRx,UCRx, HD-CUL,HD-UUL, TXdl,Rxdl, Rx1, Rx2, Rx1_s, Rx2_s, Rx1_dc, Rx2_dc, MaxOT, OT
3600,4,0000001|0000000000000000000000000,4,-79.7291,367.992,1,142.405,5,14,9,9,0,7,7,0,1,0,2,1,2,0,1,0,0,0
3600,5,0000001|0000000000000000000000001,4,268.802,463.394,1,343.208,0,14,11,11,0,9,9,0,0,0,4,3,0,4,0,3,0,0
3600,6,0000001|0000000000000000000000010,4,-127.972,321.255,1,146.473,4,14,15,15,0,12,12,0,0,0,5,4,5,0,4,0,0,0
3600,7,0000001|0000000000000000000000011,4,-45.7616,131.434,1,127.091,5,14,11,11,0,9,9,0,0,0,5,1,5,0,1,0,0,0
3600,8,0000001|0000000000000000000000100,4,173.29,-332.018,1,340.764,2,14,12,12,0,8,8,0,0,0,3,2,0,3,0,2,0,0
3600,9,0000001|0000000000000000000000101,4,60.3002,498.083,1,255.307,2,14,8,8,0,8,8,0,0,0,2,1,0,2,0,1,0,0
3600,10,0000001|0000000000000000000000110,4,321.264,268.561,1,277.856,4,14,10,10,0,9,9,0,0,0,2,0,2,0,0,0,0,0
3600,11,0000001|0000000000000000000000111,4,-201.182,-363.003,1,366.271,0,14,11,11,0,8,8,0,3,0,1,1,0,1,0,1,0,0
3600,12,0000001|0000000000000000000001000,4,-235.014,-196.458,1,197.029,5,14,14,14,0,8,8,0,0,0,5,3,5,0,3,0,0,0
3600,13,0000001|0000000000000000000001001,4,286.817,-4.68201,1,37.1164,5,14,9,9,0,9,9,0,0,0,4,4,4,0,4,0,0,0
3600,14,0000001|0000000000000000000001010,4,-156.345,120.631,1,152.719,4,14,15,15,0,13,13,0,1,0,4,2,4,0,2,0,0,0
3600,15,0000001|0000000000000000000001011,4,-137.28,440.281,1,234.634,1,14,11,11,0,8,8,0,2,0,3,2,0,3,0,2,0,0
3600,16,0000001|0000000000000000000001100,4,212.075,496.261,1,324.993,1,14,9,9,0,8,8,0,0,0,2,1,0,2,0,1,0,0
3600,17,0000001|0000000000000000000001101,4,-9.62559,-488.531,1,544.466,0,14,10,10,0,5,5,0,1,0,2,2,0,2,0,2,0,0
3600,18,0000001|0000000000000000000001110,4,404.599,-172.352,1,231.53,3,14,13,13,0,11,11,0,0,0,6,5,4,2,3,2,0,0
3600,19,0000001|0000000000000000000001111,4,-315.654,384.095,1,342.957,2,14,12,12,0,9,9,0,1,0,2,2,0,2,0,2,0,0
3600,20,0000001|0000000000000000000010000,4,-395.717,231.97,1,273.941,4,14,12,12,0,11,11,0,0,0,8,3,8,0,3,0,0,0
3600,21,0000001|0000000000000000000010001,4,89.8786,-116.753,1,198.167,3,14,12,12,0,10,10,0,1,0,8,8,5,3,5,3,0,0
3600,22,0000001|0000000000000000000010010,4,312.639,-402.273,1,407.121,0,14,11,11,0,9,9,0,1,0,5,0,0,5,0,0,0,0
3600,23,0000001|0000000000000000000010011,4,-450.251,-283.655,1,347.219,2,14,15,15,0,11,11,0,2,0,5,2,0,5,0,2,0,0
3600,24,0000001|0000000000000000000010100,4,-174.662,27.5551,1,80.2205,5,14,9,9,0,9,9,0,0,0,3,1,3,0,1,0,0,0
