timestamp,results
2025-03-29 14:20:35,"{""gw-3"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 14:20:39,"{""gw-2"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 14:20:41,"{""gw-2"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 14:20:45,"{""gw-1"": {""1"": ""conflict"", ""2"": ""blocked""}, ""gw-2"": {""1"": ""blocked"", ""2"": ""conflict""}, ""gw-3"": {""1"": ""blocked"", ""2"": ""conflict""}}"
2025-03-29 14:20:47,"{""gw-2"": {""1"": ""conflict"", ""2"": ""blocked""}}"
2025-03-29 14:20:48,"{""gw-1"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 14:20:49,"{""gw-3"": {""1"": ""blocked"", ""2"": ""blocked""}, ""gw-1"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 14:20:49,"{""gw-2"": {""1"": ""blocked"", ""2"": ""blocked""}, ""gw-3"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 14:20:49,"{""gw-1"": {""1"": ""blocked"", ""2"": ""blocked""}, ""gw-3"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 14:20:51,"{""gw-2"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 14:20:53,"{""gw-1"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 14:20:54,"{""gw-2"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 14:20:55,"{""gw-3"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 14:20:55,"{""gw-2"": {""1"": ""blocked"", ""2"": ""blocked""}, ""gw-3"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 14:20:56,"{""gw-3"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 14:21:01,"{""gw-2"": {""1"": ""conflict"", ""2"": ""blocked""}, ""gw-3"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 14:21:02,"{""gw-3"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 14:21:02,"{""gw-1"": {""1"": ""blocked"", ""2"": ""blocked""}, ""gw-3"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 14:21:03,"{""gw-1"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 14:21:04,"{""gw-2"": {""1"": ""blocked"", ""2"": ""blocked""}, ""gw-1"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 14:21:06,"{""gw-2"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 14:21:08,"{""gw-3"": {""1"": ""blocked"", ""2"": ""blocked""}, ""gw-2"": {""1"": ""blocked"", ""2"": ""blocked""}, ""gw-1"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 14:21:09,"{""gw-3"": {""1"": ""blocked"", ""2"": ""conflict""}}"
2025-03-29 14:21:09,"{""gw-2"": {""1"": ""blocked"", ""2"": ""blocked""}, ""gw-3"": {""1"": ""blocked"", ""2"": ""conflict""}}"
2025-03-29 14:21:18,"{""gw-2"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 14:21:18,"{""gw-3"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 14:21:20,"{""gw-1"": {""1"": ""blocked"", ""2"": ""blocked""}}"
